article,title
"russian foreign minister igor ivanov said tuesday that he and new secretary of state colin powell will hold their first meeting on feb. ## in cairo , egypt .",ivanov powell to meet this month
"french aerobatic team `` patrouille de france '' will stage an exciting performance in hong kong on oct. ## during its first visit to china , according to a press release issued by the consulate general of france in hong kong wednesday .",french aerobatic team to stage performance in hk
spanish farmers hurled several thousand kilos -lrb- pounds -rrb- of tomatoes and eggs at the french embassy on saturday in reprisal for attacks on spanish produce in france .,spanish farmers hurl produce at french embassy
"european share retreated thursday , tracking declines on wall street , with technology stocks posting heavy losses after a bearish earnings outlook from nokia for the fourth quarter .",euro stocks slip on wall street losses nokia
a judge on wednesday said he will not impanel a new jury to decide whether to spare the life a man convicted in the bombing of a u.s. embassy in africa .,embassy bombings judge to keep jury
"a majority of british voters regard george w. bush as a threat to world peace , a poll said saturday ahead of the us president 's state visit to britain next week .",british voters blast bush in poll ahead of state visit
"heineken nv said wednesday full-year net profit fell ## percent due to one-time charges , including a large fine from the european union for leading a price-fixing cartel on the dutch market .",heineken says #### profit fell on european cartel fines
prices of treasury securities were mixed friday after a government report showed surprising signs of strong economic growth .,treasuries are mixed on u.s. data
"in the next few days , members of the boston bruins will disperse in various directions .",moger hopes he 's not part of bruins changes
hundreds of armed police officers prevented demonstrators from holding a sit-down protest over a controversial new media law outside lebanon 's government headquarters thursday .,armed police break up protest over lebanese media law
utilityman enrique wilson brought new york from behind with his third career grand slam and jorge posada delivered a bases-loaded single breaking a seventh-inning tie as the yankees defeated the texas rangers #-# on thursday .,wilson grand slam powers yankees over rangers
"hong kong will conduct a census between march ## and ## next year , said frederick ho , commissioner for census &amp; statistics of hong kong tuesday .",hong kong to conduct census in ####
barcelona striker lionel messi will rest for about ## days after suffering a leg muscle strain in sunday 's #-# home defeat to atletico madrid .,injured messi to miss barcelona vs valencia clash
"australian cricket captain mark taylor received a standing ovation , led by the nation 's prime minister , when he vowed to keep the job at a tribute lunch attended by ### fans friday .",taylor to stay as long as he 's wanted
"a second danish soldier was suspended during an investigation into iraqi prisoner abuses at the danish headquarters in iraq , said reports reaching here wednesday from copenhagen , capital of denmark .",second danish soldier faces probe for abusing iraqi prisoner
"the ministry of economic affairs -lrb- moea -rrb- is planning to offer financial subsidies to help wage earners launch their own ventures by joining retail franchises , an official said sunday .",moea mulling financial subsidy to encourage franchise stores
